Timestamp,Temperature
19.1.2015 klo 11.10.14,"−14,00"
19.1.2015 klo 11.15.04,"−14,00"
19.1.2015 klo 11.20.04,"−13,94"
19.1.2015 klo 11.25.04,"−13,88"
19.1.2015 klo 11.30.05,"−14,13"
19.1.2015 klo 11.35.04,"−14,38"
19.1.2015 klo 11.40.05,"−14,38"
19.1.2015 klo 11.45.04,"−14,31"
19.1.2015 klo 11.50.04,"−14,38"
19.1.2015 klo 11.55.04,"−14,38"
19.1.2015 klo 12.00.04,"−14,38"
19.1.2015 klo 12.05.04,"−14,31"
19.1.2015 klo 12.10.04,"−14,38"
19.1.2015 klo 12.15.04,"−14,50"
19.1.2015 klo 12.20.05,"−14,50"
19.1.2015 klo 12.25.04,"−14,56"
19.1.2015 klo 12.30.04,"−14,38"
19.1.2015 klo 12.35.04,"−14,19"
19.1.2015 klo 12.40.04,"−14,25"
19.1.2015 klo 12.45.05,"−14,31"
19.1.2015 klo 12.50.04,"−14,31"
19.1.2015 klo 12.55.04,"−14,25"
19.1.2015 klo 13.00.04,"−14,25"
19.1.2015 klo 13.05.04,"−14,25"
19.1.2015 klo 13.10.04,"−14,25"
19.1.2015 klo 13.15.04,"−14,31"
19.1.2015 klo 13.20.04,"−14,31"
19.1.2015 klo 13.25.04,"−14,38"
19.1.2015 klo 13.30.04,"−14,50"
19.1.2015 klo 13.35.04,"−14,56"
19.1.2015 klo 13.40.04,"−14,50"
19.1.2015 klo 13.45.05,"−14,69"
19.1.2015 klo 13.50.04,"−14,75"
19.1.2015 klo 13.55.04,"−14,81"
19.1.2015 klo 14.00.04,"−14,81"
19.1.2015 klo 14.05.04,"−14,88"
19.1.2015 klo 14.10.04,"−14,94"
19.1.2015 klo 14.15.04,"−15,00"
19.1.2015 klo 14.20.04,"−15,06"
19.1.2015 klo 14.25.04,"−15,19"
